ELEMENT_GLOBAL_ID,Scientific Name,Common Name,Taxonomic Group
137338,Arctostaphylos osoensis,Oso Manzanita,Flowering Plants
138976,Arctostaphylos otayensis,Otay Manzanita,Flowering Plants
130315,Arctostaphylos pacifica,Pacific Manzanita,Flowering Plants
153167,Arctostaphylos pajaroensis,Pajaro Manzanita,Flowering Plants
135010,Arctostaphylos pallida,Alameda Manzanita,Flowering Plants
160403,Arctostaphylos pechoensis,Pecho Manzanita,Flowering Plants
895812,Arctostaphylos pilosula,Arctostaphylos pilosula,Flowering Plants
136945,Arctostaphylos pumila,Sandmat Manzanita,Flowering Plants
140994,Arctostaphylos purissima,La Purissima Manzanita,Flowering Plants
131451,Arctostaphylos rainbowensis,Rainbow Manzanita,Flowering Plants
159466,Arctostaphylos regismontana,Kings Mountain Manzanita,Flowering Plants
154699,Arctostaphylos rudis,Shagbark Manzanita,Flowering Plants
147236,Arctostaphylos silvicola,Silverleaf Manzanita,Flowering Plants
156697,Arctostaphylos virgata,Bolinas Manzanita,Flowering Plants
135173,Arenaria livermorensis,Livermore Sandwort,Flowering Plants
152842,Arenaria paludicola,Marsh Sandwort,Flowering Plants
160111,Argemone arizonica,Arizona Prickle-poppy,Flowering Plants
145302,Argythamnia aphoroides,Hill Country Wild Mercury,Flowering Plants
143010,Argythamnia argyraea,Silvery Wild Mercury,Flowering Plants
131312,Aristida mohrii,Mohr's Three-awn Grass,Flowering Plants
136562,Aristocapsa insignis,Indian Valley Centrostegia,Flowering Plants
133997,Arnoglossum album,Bay County Indian-plantain,Flowering Plants
134674,Arnoglossum diversifolium,Variableleaf Indian-plantain,Flowering Plants
141604,Artemisia porteri,Porter's Sagebrush,Flowering Plants
1040905,Asarum rosei,Wilson Creek Heartleaf,Flowering Plants
129673,Asclepias meadii,Mead's Milkweed,Flowering Plants
133366,Asclepias prostrata,Prostrate Milkweed,Flowering Plants
154257,Asclepias viridula,Southern Milkweed,Flowering Plants
146639,Asclepias welshii,Welsh's Milkweed,Flowering Plants
160347,Asimina tetramera,Four-petal Pawpaw,Flowering Plants
149983,Astragalus ackermanii,Ackerman's Milkvetch,Flowering Plants
144689,Astragalus aequalis,Clokey's Milkvetch,Flowering Plants
132940,Astragalus agnicidus,Humboldt Milkvetch,Flowering Plants
159120,Astragalus albens,Cushenbury Milkvetch,Flowering Plants
128118,Astragalus altus,Winged Milkvetch,Flowering Plants
145918,Astragalus ampullarius,Gumbo Milkvetch,Flowering Plants
144739,Astragalus anisus,Gunnison's Milkvetch,Flowering Plants
146621,Astragalus anserinus,Goose Creek Milkvetch,Flowering Plants
130599,Astragalus anxius,Lassen's Milkvetch,Flowering Plants
156762,Astragalus applegatei,Applegate's Milkvetch,Flowering Plants
146479,Astragalus austiniae,Austin's Milkvetch,Flowering Plants
788089,Astragalus avonensis,,Flowering Plants
128102,Astragalus beathii,Beath's Milkvetch,Flowering Plants
161504,Astragalus beatleyae,Beatley's Milkvetch,Flowering Plants
143330,Astragalus bibullatus,Pyne's Ground-plum,Flowering Plants
156760,Astragalus brauntonii,Braunton's Milkvetch,Flowering Plants
131957,Astragalus chamaemeniscus,Ground-crescent Milkvetch,Flowering Plants
146245,Astragalus clarianus,Napa Milkvetch,Flowering Plants
146133,Astragalus columbianus,Columbian Milkvetch,Flowering Plants
159606,Astragalus consobrinus,Bicknell's Milkvetch,Flowering Plants
142809,Astragalus cremnophylax,Cliff Milkvetch,Flowering Plants
128330,Astragalus cronquistii,Cronquist's Milkvetch,Flowering Plants
147831,Astragalus deanei,Deane's Milkvetch,Flowering Plants
151992,Astragalus debequaeus,DeBeque Milkvetch,Flowering Plants
159222,Astragalus desereticus,Deseret Milkvetch,Flowering Plants
129249,Astragalus deterior,Cliff-palace Milkvetch,Flowering Plants
144195,Astragalus diversifolius,Mesic Milkvetch,Flowering Plants
145919,Astragalus drabelliformis,Big Piney Milkvetch,Flowering Plants
153279,Astragalus ertterae,Ertter's Milkvetch,Flowering Plants
144378,Astragalus eurylobus,Peck Station Milkvetch,Flowering Plants
155929,Astragalus funereus,Black Milkvetch,Flowering Plants
151903,Astragalus gilmanii,Gilman's Milkvetch,Flowering Plants
143089,Astragalus gypsodes,Gyp Ground-plum,Flowering Plants
152332,Astragalus hamiltonii,Hamilton's Milkvetch,Flowering Plants
153420,Astragalus harrisonii,Harrison's Milkvetch,Flowering Plants
128690,Astragalus holmgreniorum,Holmgren's Milkvetch,Flowering Plants
