SpeciesCode,HUCID
IsotriaMedeoloides,0106000105
IsotriaMedeoloides,0106000106
IsotriaMedeoloides,0415060000
IsotriaMedeoloides,0714010701
IsotriaMedeoloides,0714010702
IsotriaMedeoloides,0714010703
IsotriaMedeoloides,0714010704
IsotriaMedeoloides,0714010705
IsotriaMedeoloides,0802020301
IsotriaMedeoloides,0802020402
IsotriaMedeoloides,0301010303
IsotriaMedeoloides,0301010305
IsotriaMedeoloides,0301010309
IsotriaMedeoloides,0306010201
IsotriaMedeoloides,0306010204
IsotriaMedeoloides,0306010401
IsotriaMedeoloides,0306010402
IsotriaMedeoloides,0712000102
IsotriaMedeoloides,0404000101
IsotriaMedeoloides,0404000102
IsotriaMedeoloides,0405000122
IsotriaMedeoloides,0405000123
IsotriaMedeoloides,0405000125
IsotriaMedeoloides,0405000201
IsotriaMedeoloides,0205030612
IsotriaMedeoloides,0505000305
IsotriaMedeoloides,0204010410
IsotriaMedeoloides,0110000502
IsotriaMedeoloides,0305010101
IsotriaMedeoloides,0503020402
IsotriaMedeoloides,0305010513
IsotriaMedeoloides,0203010504
IsotriaMedeoloides,0306010203
IsotriaMedeoloides,0714010504
IsotriaMedeoloides,0303000201
IsotriaMedeoloides,0303000202
IsotriaMedeoloides,0303000203
IsotriaMedeoloides,0303000204
IsotriaMedeoloides,0303000301
IsotriaMedeoloides,0303000302
IsotriaMedeoloides,0313000101
IsotriaMedeoloides,0313000102
IsotriaMedeoloides,0313000103
IsotriaMedeoloides,0313000104
IsotriaMedeoloides,0313000105
IsotriaMedeoloides,0313000106
IsotriaMedeoloides,0313000107
IsotriaMedeoloides,0405000126
IsotriaMedeoloides,0304010105
IsotriaMedeoloides,0304010106
IsotriaMedeoloides,0304010107
IsotriaMedeoloides,0304010108
IsotriaMedeoloides,0304010109
IsotriaMedeoloides,0304010110
IsotriaMedeoloides,0304010302
IsotriaMedeoloides,0304010304
IsotriaMedeoloides,0503020403
IsotriaMedeoloides,0503020404
IsotriaMedeoloides,0503020405
IsotriaMedeoloides,0503020406
IsotriaMedeoloides,0315010103
IsotriaMedeoloides,0315010104
IsotriaMedeoloides,0315010201
IsotriaMedeoloides,0315010202
IsotriaMedeoloides,0315010203
IsotriaMedeoloides,0315010204
IsotriaMedeoloides,0315010205
IsotriaMedeoloides,0315010208
IsotriaMedeoloides,0315010401
IsotriaMedeoloides,0315010402
IsotriaMedeoloides,0602000107
IsotriaMedeoloides,0602000109
IsotriaMedeoloides,0305010102
IsotriaMedeoloides,0305010103
IsotriaMedeoloides,0305010104
IsotriaMedeoloides,0305010105
IsotriaMedeoloides,0305010106
IsotriaMedeoloides,0305010107
IsotriaMedeoloides,0305010108
IsotriaMedeoloides,0305010201
IsotriaMedeoloides,0305010202
IsotriaMedeoloides,0305010501
IsotriaMedeoloides,0305010502
IsotriaMedeoloides,0305010503
IsotriaMedeoloides,0305010504
IsotriaMedeoloides,0305010505
IsotriaMedeoloides,0305010506
IsotriaMedeoloides,0305010507
IsotriaMedeoloides,0601010501
IsotriaMedeoloides,0601010502
IsotriaMedeoloides,0601010503
IsotriaMedeoloides,0601010504
IsotriaMedeoloides,0601010505
IsotriaMedeoloides,0601010506
IsotriaMedeoloides,0601010507
IsotriaMedeoloides,0601010509
IsotriaMedeoloides,0601010512
IsotriaMedeoloides,0601010601
IsotriaMedeoloides,0601010602
IsotriaMedeoloides,0601010603
IsotriaMedeoloides,0601010801
IsotriaMedeoloides,0601010802
IsotriaMedeoloides,0601020201
IsotriaMedeoloides,0601020202
IsotriaMedeoloides,0601020203
IsotriaMedeoloides,0601020204
IsotriaMedeoloides,0601020301
IsotriaMedeoloides,0601020302
IsotriaMedeoloides,0601020303
IsotriaMedeoloides,0601020401
IsotriaMedeoloides,0602000202
IsotriaMedeoloides,0602000204
IsotriaMedeoloides,0602000206
IsotriaMedeoloides,0602000207
IsotriaMedeoloides,0602000203
IsotriaMedeoloides,0305010512
IsotriaMedeoloides,0305010901
IsotriaMedeoloides,0306010101
IsotriaMedeoloides,0601010302
IsotriaMedeoloides,0601010303
IsotriaMedeoloides,0601010304
IsotriaMedeoloides,0301010301
IsotriaMedeoloides,0301010401
IsotriaMedeoloides,0503020407
IsotriaMedeoloides,0506000206
IsotriaMedeoloides,0502000303
IsotriaMedeoloides,0503010605
IsotriaMedeoloides,0503010610
IsotriaMedeoloides,0109000405
IsotriaMedeoloides,0109000406
IsotriaMedeoloides,0109000502
IsotriaMedeoloides,0109000504
IsotriaMedeoloides,0109000409
IsotriaMedeoloides,0602000110
IsotriaMedeoloides,0602000201
IsotriaMedeoloides,0602000205
IsotriaMedeoloides,0602000301
IsotriaMedeoloides,0602000302
IsotriaMedeoloides,0306010202
IsotriaMedeoloides,0315010101
IsotriaMedeoloides,0602000104
