ELEMENT_GLOBAL_ID,cutecode,Scientific Name,Common Name,Taxonomic Group
138976,arctotay,Arctostaphylos otayensis,Otay Manzanita,Flowering Plants
130315,arctpaci,Arctostaphylos pacifica,Pacific Manzanita,Flowering Plants
153167,arctpaja,Arctostaphylos pajaroensis,Pajaro Manzanita,Flowering Plants
135010,arctpall,Arctostaphylos pallida,Alameda Manzanita,Flowering Plants
160403,arctpech,Arctostaphylos pechoensis,Pecho Manzanita,Flowering Plants
895812,arctpilo,Arctostaphylos pilosula,Arctostaphylos pilosula,Flowering Plants
136945,arctpumi,Arctostaphylos pumila,Sandmat Manzanita,Flowering Plants
140994,arctpuri,Arctostaphylos purissima,La Purissima Manzanita,Flowering Plants
131451,arctrain,Arctostaphylos rainbowensis,Rainbow Manzanita,Flowering Plants
159466,arctregi,Arctostaphylos regismontana,Kings Mountain Manzanita,Flowering Plants
154699,arctrudi,Arctostaphylos rudis,Shagbark Manzanita,Flowering Plants
147236,arctsilv,Arctostaphylos silvicola,Silverleaf Manzanita,Flowering Plants
156697,arctvirg,Arctostaphylos virgata,Bolinas Manzanita,Flowering Plants
135173,arenlive,Arenaria livermorensis,Livermore Sandwort,Flowering Plants
152842,arenpalu,Arenaria paludicola,Marsh Sandwort,Flowering Plants
160111,argeariz,Argemone arizonica,Arizona Prickle-poppy,Flowering Plants
145302,argyapho,Argythamnia aphoroides,Hill Country Wild Mercury,Flowering Plants
143010,argyargy,Argythamnia argyraea,Silvery Wild Mercury,Flowering Plants
131312,arismohr,Aristida mohrii,Mohr's Three-awn Grass,Flowering Plants
136562,arisinsi,Aristocapsa insignis,Indian Valley Centrostegia,Flowering Plants
133997,arnoalbu,Arnoglossum album,Bay County Indian-plantain,Flowering Plants
134674,arnodive,Arnoglossum diversifolium,Variableleaf Indian-plantain,Flowering Plants
141604,arteport,Artemisia porteri,Porter's Sagebrush,Flowering Plants
1040905,asarrose,Asarum rosei,Wilson Creek Heartleaf,Flowering Plants
129673,asclmead,Asclepias meadii,Mead's Milkweed,Flowering Plants
133366,asclpros,Asclepias prostrata,Prostrate Milkweed,Flowering Plants
154257,asclviri,Asclepias viridula,Southern Milkweed,Flowering Plants
146639,asclwels,Asclepias welshii,Welsh's Milkweed,Flowering Plants
160347,asimtetr,Asimina tetramera,Four-petal Pawpaw,Flowering Plants
149983,astracke,Astragalus ackermanii,Ackerman's Milkvetch,Flowering Plants
144689,astraequ,Astragalus aequalis,Clokey's Milkvetch,Flowering Plants
132940,astragni,Astragalus agnicidus,Humboldt Milkvetch,Flowering Plants
159120,astralbe,Astragalus albens,Cushenbury Milkvetch,Flowering Plants
128118,astraltu,Astragalus altus,Winged Milkvetch,Flowering Plants
145918,astrampu,Astragalus ampullarius,Gumbo Milkvetch,Flowering Plants
144739,astranis,Astragalus anisus,Gunnison's Milkvetch,Flowering Plants
146621,astranse,Astragalus anserinus,Goose Creek Milkvetch,Flowering Plants
130599,astranxi,Astragalus anxius,Lassen's Milkvetch,Flowering Plants
156762,astrappl,Astragalus applegatei,Applegate's Milkvetch,Flowering Plants
146479,astraust,Astragalus austiniae,Austin's Milkvetch,Flowering Plants
788089,astravon,Astragalus avonensis,,Flowering Plants
128102,astrbeat1,Astragalus beathii,Beath's Milkvetch,Flowering Plants
161504,astrbeat2,Astragalus beatleyae,Beatley's Milkvetch,Flowering Plants
143330,astrbibu,Astragalus bibullatus,Pyne's Ground-plum,Flowering Plants
156760,astrbrau,Astragalus brauntonii,Braunton's Milkvetch,Flowering Plants
131957,astrcham,Astragalus chamaemeniscus,Ground-crescent Milkvetch,Flowering Plants
146245,astrclar,Astragalus clarianus,Napa Milkvetch,Flowering Plants
146133,astrcolu,Astragalus columbianus,Columbian Milkvetch,Flowering Plants
159606,astrcons,Astragalus consobrinus,Bicknell's Milkvetch,Flowering Plants
142809,astrcrem,Astragalus cremnophylax,Cliff Milkvetch,Flowering Plants
128330,astrcron,Astragalus cronquistii,Cronquist's Milkvetch,Flowering Plants
147831,astrdean,Astragalus deanei,Deane's Milkvetch,Flowering Plants
151992,astrdebe,Astragalus debequaeus,DeBeque Milkvetch,Flowering Plants
159222,astrdese,Astragalus desereticus,Deseret Milkvetch,Flowering Plants
129249,astrdete,Astragalus deterior,Cliff-palace Milkvetch,Flowering Plants
144195,astrdive,Astragalus diversifolius,Mesic Milkvetch,Flowering Plants
145919,astrdrab,Astragalus drabelliformis,Big Piney Milkvetch,Flowering Plants
153279,astrertt,Astragalus ertterae,Ertter's Milkvetch,Flowering Plants
144378,astreury,Astragalus eurylobus,Peck Station Milkvetch,Flowering Plants
155929,astrfune,Astragalus funereus,Black Milkvetch,Flowering Plants
151903,astrgilm,Astragalus gilmanii,Gilman's Milkvetch,Flowering Plants
143089,astrgyps,Astragalus gypsodes,Gyp Ground-plum,Flowering Plants
152332,astrhami,Astragalus hamiltonii,Hamilton's Milkvetch,Flowering Plants
153420,astrharr,Astragalus harrisonii,Harrison's Milkvetch,Flowering Plants
128690,astrholm,Astragalus holmgreniorum,Holmgren's Milkvetch,Flowering Plants
147602,astrhumi,Astragalus humillimus,Mancos Milkvetch,Flowering Plants
130953,astrhypo,Astragalus hypoxylus,Huachuca Milkvetch,Flowering Plants
156188,astriodo,Astragalus iodopetalus,Violet Milkvetch,Flowering Plants
132514,astrisel,Astragalus iselyi,Isely's Milkvetch,Flowering Plants
146542,astrjaeg,Astragalus jaegerianus,Lane Mountain Milkvetch,Flowering Plants
144196,astrjoha,Astragalus johannis-howellii,Long Valley Milkvetch,Flowering Plants
144522,astrkerr,Astragalus kerrii,Kerr's Milkvetch,Flowering Plants
154173,astrknig,Astragalus knightii,Knight's Milkvetch,Flowering Plants
151564,astrlack,Astragalus lackschewitzii,Lackschewitz's Milkvetch,Flowering Plants
143087,astrlemm,Astragalus lemmonii,Lemmon's Milkvetch,Flowering Plants
152329,astrlent,Astragalus lentiformis,Lens-pod Milkvetch,Flowering Plants
144273,astrleuc,Astragalus leucolobus,Big Bear Valley Woollypod,Flowering Plants
132969,astrlimn,Astragalus limnocharis,Navajo Lake Milkvetch,Flowering Plants
158742,astrloan,Astragalus loanus,Glenwood Milkvetch,Flowering Plants
155930,astrmicr,Astragalus microcymbus,Skiff Milkvetch,Flowering Plants
155316,astrmono,Astragalus monoensis,Mono Milkvetch,Flowering Plants
142398,astrmulf,Astragalus mulfordiae,Mulford's Milkvetch,Flowering Plants
144274,astrooca,Astragalus oocarpus,San Diego Milkvetch,Flowering Plants
155315,astroste,Astragalus osterhoutii,Osterhout's Milkvetch,Flowering Plants
154059,astrphoe,Astragalus phoenix,Ash Meadows Milkvetch,Flowering Plants
153457,astrpino,Astragalus pinonis,Pinyon Milkvetch,Flowering Plants
143329,astrpisc,Astragalus piscator,Fisher Milkvetch,Flowering Plants
143090,astrproi,Astragalus proimanthus,Precocious Milkvetch,Flowering Plants
157481,astrrafa,Astragalus rafaelensis,San Rafael Milkvetch,Flowering Plants
151731,astrrave,Astragalus ravenii,Raven's Milkvetch,Flowering Plants
146721,astrremo,Astragalus remotus,Spring Mountain Milkvetch,Flowering Plants
153458,astrripa,Astragalus riparius,Piper's Milkvetch,Flowering Plants
154909,astrsabu,Astragalus sabulosus,Cisco Milkvetch,Flowering Plants
143808,astrschm,Astragalus schmolliae,Schmoll's Milkvetch,Flowering Plants
158790,astrshev,Astragalus shevockii,Shevock's Milkvetch,Flowering Plants
133554,astrsinu,Astragalus sinuatus,Whited's Milkvetch,Flowering Plants
154057,astrsoph,Astragalus sophoroides,Painted Desert Milkvetch,Flowering Plants
129820,astrspar,Astragalus sparsiflorus,Front Range Milkvetch,Flowering Plants
154910,astrstra,Astragalus straturensis,Silver Reef Milkvetch,Flowering Plants
133555,astrtoqu,Astragalus toquimanus,Toquima Milkvetch,Flowering Plants
149331,astrtort,Astragalus tortipes,Sleeping Ute Milkvetch,Flowering Plants
157476,astrtric,Astragalus tricarinatus,Triple-rib Milkvetch,Flowering Plants
130517,astrtrog,Astragalus troglodytus,Creeping Milkvetch,Flowering Plants
146792,astrtygh,Astragalus tyghensis,Tygh Valley Milkvetch,Flowering Plants
154911,astrunci,Astragalus uncialis,Currant Milkvetch,Flowering Plants
160714,astrwebb,Astragalus webberi,Webber's Milkvetch,Flowering Plants
152558,astrwels,Astragalus welshii,Welsh's Milkvetch,Flowering Plants
132943,astraste,Astrophytum asterias,Star Cactus,Flowering Plants
140765,atricord,Atriplex cordulata,Heartleaf Saltbush,Flowering Plants
157071,atridepr,Atriplex depressa,Bittlescale,Flowering Plants
127970,atrierec,Atriplex erecticaulis,Earlimart Saltbush,Flowering Plants
150150,atrigrif,Atriplex griffithsii,Griffiths' Saltbush,Flowering Plants
133794,atrijoaq,Atriplex joaquiniana,San Joaquin Saltbush,Flowering Plants
148821,atrikleb,Atriplex klebergorum,Klebergs' Saltbush,Flowering Plants
150487,atriminu,Atriplex minuscula,Lesser Saltbush,Flowering Plants
159715,atrinava,Atriplex navajoensis,Navajo Saltbush,Flowering Plants
149110,atripari,Atriplex parishii,Parish's Saltbush,Flowering Plants
133338,atripers,Atriplex persistens,Sacramento Saltbush,Flowering Plants
152889,atrisubt,Atriplex subtilis,Deltoid-bract Saltbush,Flowering Plants
160941,atrivall,Atriplex vallicola,Lost Hills Saltbush,Flowering Plants
151636,ayenlimi,Ayenia limitaris,Texas Ayenia,Flowering Plants
156330,baccmali,Baccharis malibuensis,Malibu Coyote Brush,Flowering Plants
157399,baccvane,Baccharis vanessae,Encinitis Baccharis,Flowering Plants
132712,baldatro,Balduina atropurpurea,Purple Balduina,Flowering Plants
